"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC"
"Lily Lake","579	","Utah","SNOTEL","Summit","9133","40.86493","-110.79813","160101010103	"
"Lily Pond","580	","Colorado","SNOTEL","Conejos","11000","37.37929","-106.54835","130100020302	"
"Lind #1","2021	","Washington","SCAN","Adams","1640","47","-118.56667","170200150807	"
"Lindsay","581	","Montana","SCAN","Dawson","2871","47.21415","-105.18702","101000041002	"
"Little Bear","582	","Utah","SNOTEL","Cache","6548","41.40562","-111.82607","160102030103	"
"Little Chena Ridge","947	","Alaska","SNOTEL","Fairbanks North Star","2000","65.12422","-146.7339","190803060706	"
"Little Goose","1131	","Wyoming","SNOTEL","Johnson","8870","44.54315","-107.17865","100901010105	"
"Little Grassy","583	","Utah","SNOTEL","Washington","6065","37.48631","-113.84582","160300061302	"
"Little Meadows","584	","Oregon","SNOTEL","Linn","4020","44.61297","-122.22565","170900060301	"
"Little Red Fox","2155	","Utah","SCAN","Duchesne","5395","40.17957","-110.30464","140600030406	"
"Little River","2027	","Georgia","SCAN","Tift","350","31.5","-83.55","031102040105	"
"Little Snake River","1047	","Wyoming","SNOTEL","Carbon","8915","41.07053","-106.94283","140500030103	"
"Little Valley","1242	","Nevada","SNOTEL","Washoe","6493","39.25259","-119.8771","160501020301	"
"Little Warm","585	","Wyoming","SNOTEL","Fremont","9370","43.50278","-109.752","100800010212	"
"Livingston-UWA","2114	","Alabama","SCAN","Sumter","144","32.608","-88.19743","031602020404	"
"Lizard Head Pass","586	","Colorado","SNOTEL","Dolores","10200","37.79926","-107.92426","140300020201	"
"Lobdell Lake","587	","California","SNOTEL","Mono","9249","38.43745","-119.36572","160503020201	"
"Lolo Pass","588	","Idaho","SNOTEL","Idaho","5240","46.63448","-114.58072","170102051401	"
"Lone Cone","589	","Colorado","SNOTEL","San Miguel","9600","37.89183","-108.19544","140300030302	"
"Lone Mountain","590	","Montana","SNOTEL","Madison","8880","45.27412","-111.42692","100200080201	"
"Lone Pine","591	","Washington","SNOTEL","Skamania","3930","46.27143","-121.96288","170800020203	"
"Lonesome Beaver","1261	","Utah","SNOTEL","Garfield","9410","38.07","-110.77241","140700010301	"
"Long Draw Resv","1123	","Colorado","SNOTEL","Larimer","9980","40.5123","-105.7656","101900070203	"
"Long Flat","592	","Utah","SNOTEL","Washington","7982","37.51255","-113.39661","160300061403	"
"Long Lake","1001	","Alaska","SNOTEL","Juneau","850","58.186","-133.83217","190102060505	"
"Long Valley","1016	","Idaho","SNOTEL","Valley","4890","44.78835","-116.08878","170501230206	"
"Long Valley Jct","593	","Utah","SNOTEL","Kane","7465","37.48756","-112.51458","150100080201	"
"Lookout","594	","Idaho","SNOTEL","Shoshone","5190","47.45749","-115.70457","170103020101	"
"Lookout Mountain","595	","New Mexico","SNOTEL","Sierra","8500","33.36027","-107.83122","150400010402	"
"Lookout Peak","596	","Utah","SNOTEL","Salt Lake","8161","40.83731","-111.70965","160202040302	"
"Loomis Park","597	","Wyoming","SNOTEL","Sublette","8240","43.17387","-110.14007","140401010201	"
"Los Lunas PMC","2169	","New Mexico","SCAN","Valencia","4846","34.7715","-106.76288","130202030604	"
"Lost Creek Resv","1118	","Utah","SNOTEL","Morgan","6082","41.22155","-111.35947","160201010603	"
"Lost Dog","940	","Colorado","SNOTEL","Routt","9320","40.81588","-106.74835","140500010203	"
"Lost Horse","599	","Washington","SNOTEL","Yakima","5120","46.3575","-121.08095","170300030302	"
"Lost Lake","600	","Idaho","SNOTEL","Shoshone","6110","47.0809","-115.9604","170603080101	"
"Lost-Wood Divide","601	","Idaho","SNOTEL","Blaine","7900","43.82432","-114.26402","170402190304	"
"Louis Meadow","972	","Utah","SNOTEL","Salt Lake","6700","40.83033","-111.76457","160202040304	"
"Loveland Basin","602	","Colorado","SNOTEL","Clear Creek","11400","39.67433","-105.90133","101900040102	"
"Lovell Summit","2146	","Nevada","SCAN","Clark","6582","36.16555","-115.61195","160600150401	"
"Lovelock NNR","2116	","Nevada","SCAN","Pershing","3934","40.03328","-118.17764","160502030503	"
"Lower Kachemak Creek","1265	","Alaska","SNOTEL","Kenai Peninsula","1915","59.73507","-150.69327","190203011101	"
"Lower Mulchatna","1233	","Alaska","SCAN","Dillingham","320","59.82001","-156.99064","190303021706	"
"Lower Twin","603	","Montana","SNOTEL","Madison","7900","45.50871","-111.92288","100200071101	"
"Lubrecht Flume","604	","Montana","SNOTEL","Missoula","4680","46.88293","-113.32228","170102031204	"
"Lucky Strike","605	","Oregon","SNOTEL","Umatilla","4970","45.27478","-118.8479","170701030606	"
"Lye Brook","2042	","Vermont","SCAN","Bennington","2435","43.05","-73.03333","020200030202	"
"Lyman Lake","606	","Washington","SNOTEL","Chelan","5980","48.19798","-120.91678","170200090203	"
"Lynhart Ranch","2074	","Oregon","SCAN","Klamath","4092","42.01865","-121.38869","180102040906	"
"Lynn Lake","1069	","Washington","SNOTEL","King","3900","47.20172","-121.77972","171100130203	"
"Lynx Pass","607	","Colorado","SNOTEL","Routt","8880","40.07806","-106.67028","140100011001	"
"Madison Butte","608	","Oregon","SNOTEL","Morrow","5150","45.10513","-119.49585","170702041101	"
"Madison Plateau","609	","Montana","SNOTEL","Gallatin","7750","44.58623","-111.11627","100200070204	"
"Magic Mountain","610	","Idaho","SNOTEL","Twin Falls","6880","42.18072","-114.28662","170402120601	"
"Mahantango Ck","2028	","Pennsylvania","SCAN","Northumberland","730","40.66667","-76.66667","020503010801	"
"Mammoth Cave","2079	","Kentucky","SCAN","Hart","800","37.1864","-86.04093","051100010808	"
"Mammoth-Cottonwood","612	","Utah","SNOTEL","Sanpete","8709","39.68338","-111.31818","160300040203	"
"Mana House","2102	","Hawaii","SCAN","Hawaii","4234","19.95658","-155.53517","200100000202	"
"Mancos","905	","Colorado","SNOTEL","Montezuma","10000","37.43087","-108.16954","140801070102	"
"Mandan #1","2020	","North Dakota","SCAN","Morton","1930","46.76667","-100.91667","101301020105	"
"Manderfield","2156	","Utah","SCAN","Beaver","6185","38.36649","-112.64291","160300070101	"
"Many Glacier","613	","Montana","SNOTEL","Glacier","4900","48.79698","-113.6705","090400010201	"
