"pedon_key","stationTriplet","Site","stateCode","Network","Name","dcoCode","countyName","HUC","Elevation_ft","Latitude","Longitude","dataTimeZone","shefId","beginDate","endDate","upedonid","pedlabsampnum","State"
"40645","2167:UT:SCAN","2167","UT","SCAN","Dugway","GC","Tooele","160203061009",4314,40.16591,-113.02007,-7,"DGYU1","2009-06-16 00:00","2100-01-01 00:00","S2009UT045002","09N1057","Utah"
"70964","2192:CA:SCAN","2192","CA","SCAN","Eagle Lake","GC","Lassen","180800030305",5134,40.6175,-120.72472,-8,"EALC1","2012-06-12 00:00","2100-01-01 00:00","S2012CA063001","13N97487","California"
"33673","960:AK:SNTL","960","AK","SNTL","Eagle Summit","AK","Yukon-Koyukuk","190804010801",3650,65.48588,-145.41212,-9,"EAGA2","1997-10-01 00:00","2100-01-01 00:00","S2006AK002015","07N0173","Alaska"
"55509","460:WY:SNTL","460","WY","SNTL","East Rim Divide","ID","Sublette","170401030203",7930,43.13097,-110.2023,-8,"ERDW4","1984-10-01 00:00","2100-01-01 00:00","S11WY039001","11N8291","Wyoming"
"34112","2130:UT:SCAN","2130","UT","SCAN","Eastland","GC","San Juan","140802030109",6837,37.77853,-109.17193,-7,"ELDU1","2007-05-14 00:00","2100-01-01 00:00","S07UT037001","07N0493","Utah"
"30330","2077:TN:SCAN","2077","TN","SCAN","Eastview Farm","GC","Franklin","060300030602",1054,35.13905,-86.19113,-6,"EAST1","2003-06-04 00:00","2100-01-01 00:00","2003TN051004","03N0736","Tennessee"
"39573","998:WA:SNTL","998","WA","SNTL","Easy Pass","OR","Whatcom","171100010101",5270,48.85933,-121.43895,-8,"EPSW1","2008-09-19 00:00","2100-01-01 00:00","S2008WA073101","09N0408","Washington"
"32239","936:CO:SNTL","936","CO","SNTL","Echo Lake","CO","Clear Creek","101900020801",10694,39.65539,-105.59358,-8,"ECLC2","1998-08-10 00:00","2100-01-01 00:00","04CA017006","05N0024","Colorado"
"66116","1163:UT:SNTL","1163","UT","SNTL","EF Blacks Fork GS","UT","Summit","140401070302",9360,40.88472,-110.54056,-8,"EFBU1","2010-10-22 00:00","2100-01-01 00:00","S11UT043003","11N0384","Utah"
"59484","921:NM:SNTL","921","NM","SNTL","Elk Cabin","CO","Santa Fe","130202010102",8239,35.7073,-105.80584,-8,"ELCN5","1996-10-01 00:00","2100-01-01 00:00","S2011NM049101","12N0029","New Mexico"
"72143","2220:MO:SCAN","2220","MO","SCAN","Elsberry PMC","GC","Lincoln","071100041104",453,39.15306,-90.78278,-6,"EBYM7","2015-08-04 00:00","2100-01-01 00:00","S2015MO113001","15N0738","Missouri"
"34115","2128:UT:SCAN","2128","UT","SCAN","Enterprise","GC","Iron","160300061307",5250,37.63343,-113.64324,-7,"ENPU1","2007-05-11 00:00","2100-01-01 00:00","S07UT021001","07N0496","Utah"
"34109","2126:UT:SCAN","2126","UT","SCAN","Ephraim","GC","Sanpete","160300040303",5531,39.36798,-111.57803,-7,"EPMU1","2007-05-09 00:00","2100-01-01 00:00","S07UT039001","07N0490","Utah"
